,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
2650,ID1000122807,ASII,PT Astra International Tbk,Asia / Pacific,Asia / Pacific,ID,IDR,IDX,Industrials,Industrial Conglomerates,Large Cap,Value,11184.12,0.01,18506.04,5025.0,6731.9565,6494.961289549631,6317.960691616881,6677.630155454744,0.292529609860619,0.14442650859195136,1.0,0.33969283582089554,-0.2121,0.5162,0.0723,-0.0159,23.0,0.3058859051972515,0.16539862904328875,0.053833029261570874,0.2964136794924732,0.5892559526920274,0.97725
2853,TW0003017000,3017,Asia Vital Components Co. Ltd.,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Growth,33128.56,0.01,32061.44,2730.0,3446.0,3490.927119502493,3406.725435247733,3575.7743563508275,0.27872788260164677,0.10025205771204779,1.0,0.2622710622710623,0.8079,37.8368,141.3872,1.0262,15.0,0.2949113484610582,0.19944976342251042,-0.004149731633204132,0.28120665044907767,0.6371914594914182,0.9475
2877,TW0006669005,6669,Wiwynn Corporation,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Core,35508.6,0.01,36622.57,6175.0,7568.8823,7883.958884802111,7704.027428329859,8065.212731989041,0.2767544752715947,0.09390256849596672,1.0,0.22572992712550607,0.4167,6.8266,,0.6217,17.0,0.2918329160334649,0.2000773656623124,-0.00504676104827801,0.27743286878735657,0.6408861928273245,0.9465
2886,CA82509L1076,SHOP,Shopify Inc.,United States and Canada,United States and Canada,CA,USD,NasdaqGS,Information Technology,IT Services,Large Cap,Growth,187654.39,0.01,182885.39,144.24,163.1087,184.01888800964596,178.37844883145658,189.6110858344304,0.2757826401112428,0.09054329719860989,1.0,0.13081461453133666,-0.1039,-0.0667,37.9733,0.3546,46.0,0.2820606308846793,0.12221077839828734,0.09441985384259784,0.2760006578778952,0.4976080757824032,0.9936875
2932,AU000000ALL7,ALL,Aristocrat Leisure Limited,Asia / Pacific,Asia / Pacific,AU,AUD,ASX,Consumer Discretionary,Hotels Restaurants and Leisure,Large Cap,Core,27964.02,0.01,28846.93,66.22,66.3876,84.26476123149396,82.58501567464394,85.92741075700046,0.2724971493732103,0.08020399195318915,1.0,0.002530957414678345,0.1496,0.7127,3.9753,0.194,17.0,0.2833917697411508,0.17688592338598721,0.016466955937369913,0.27184828662143884,0.5926827471544547,0.960625
3004,ARP9897X1319,YPFD,YPF Sociedad Anónima,Latin America and Caribbean,Latin America and Caribbean,AR,ARS,BASE,Energy,Oil Gas and Consumable Fuels,Large Cap,Core,20204.6,0.0,28799.36,7685.0,10431.9333,9742.721205465356,8685.528236421997,10879.615918846588,0.2677581269310742,0.057695066728927866,1.0,0.3574408978529603,0.4075,96.3278,286.7853,1.1011,3.0,0.3597412677931388,0.5614390921380797,-0.33684081533058124,0.2594136673075523,1.4037295183683325,0.7361875
3155,CNE1000041R8,688256,Cambricon Technologies Corporation Limited,Asia / Pacific,Asia / Pacific,CN,CNY,SHSE,Information Technology,Semiconductors and Semiconductor Equipment,Large Cap,Core,105818.67,0.0,104905.42,1136.9,1508.3124,1428.873011825004,1399.4782641544416,1459.2513040385804,0.25681503371009173,0.0290203996550872,1.0,0.32668871492655466,0.2507,14.0858,,1.1376,5.0,0.31731541324681234,0.42026155560271056,-0.23367441504470016,0.255641793538595,1.0514094585411742,0.78925
3185,CA06849F1080,ABX,Barrick Mining Corporation,United States and Canada,United States and Canada,CA,CAD,TSX,Materials,Metals and Mining,Large Cap,Core,68913.02,0.01,75915.33,57.63,65.7428,72.32385433957234,70.91518273568559,73.7558896805652,0.2549688415681479,0.02299771750110435,1.0,0.14077390248134652,-0.0239,1.5001,1.5198,0.4087,12.0,0.28112690537299456,0.26203190267424664,-0.09547593310235376,0.256118733338348,0.7525544121107761,0.8815625
3411,JP3811000003,5803,Fujikura Ltd.,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Industrials,Electrical Equipment,Large Cap,Core,53252.26,0.01,52998.24,5073.0,7174.5454,6289.011967991429,6159.996753355491,6419.491306911971,0.2397027336864646,-0.027533748573577817,1.0,0.4142608712793219,0.7529,52.0362,65.3769,2.0285,11.0,0.2649125409304977,0.2633952832221678,-0.11064149254654279,0.23782793354984447,0.7238329019404993,0.8639375
3425,US5324571083,LLY,Eli Lilly and Company,United States and Canada,United States and Canada,US,USD,NYSE,Health Care,Pharmaceuticals,Large Cap,Growth,1043212.6,0.0,1080852.6,1169.86,1285.1154,1449.2933652773263,1425.262553166188,1474.5810466031328,0.2388605177348837,-0.030257970569028025,1.0,0.09852067768792847,0.0923,3.642,15.856,0.3845,26.0,0.24382672479138087,0.14939239172411675,0.009785658432941303,0.23594733016248426,0.5040281331703426,0.95675
3462,DK0062498333,NOVOB,Novo Nordisk A/S,Europe,Europe,DK,DKK,CPSE,Health Care,Pharmaceuticals,Large Cap,Core,201045.1,0.0,215740.67,294.3,316.785,363.9051138862061,354.5522496526891,372.77174794258303,0.23651075054776238,-0.03829420961517934,1.0,0.07640163098878695,-0.0642,0.018,1.2474,-0.1567,24.0,0.2488456647139789,0.1622835136494034,0.006804269317150878,0.2397689867718395,0.5216122929059148,0.954125
3485,TW0003231007,3231,Wistron Corporation,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Core,18993.12,0.01,32569.26,193.0,263.0,238.35680527011738,232.83546931622962,244.00464145824265,0.2350093537311762,-0.04325095736696174,1.0,0.3626943005181347,0.3294,7.5624,14.5527,0.2291,15.0,0.2505399295009679,0.23443706664031116,-0.0889276596944615,0.23027199649704821,0.6536685973246226,0.8808125
3510,THC903010005,GULF,Gulf Development Public Company Limited,Asia / Pacific,Asia / Pacific,TH,THB,SET,Utilities,Independent Power and Renewable Electricity Producers,Large Cap,Core,30012.36,0.0,41554.45,66.5,76.0938,82.02235285913795,80.02352443766434,84.02218040009359,0.23341883998703444,-0.04860049556214824,1.0,0.14426766917293232,0.6809,,,,16.0,0.2465346710233888,0.2639230760347129,-0.035373824134809266,0.23133738016321825,0.5760766318426089,0.922375
3523,KE1000001402,SCOM,Safaricom PLC,Africa / Middle East,Africa / Middle East,KE,KES,NASE,Communication Services,Wireless Telecommunication Services,Large Cap,Core,10732.64,0.0,12043.78,34.65,40.2167,42.711479296177714,37.74278239654404,48.152148500074674,0.23265452514221585,-0.05941119431502404,0.99975,0.16065512265512266,0.2956,0.1423,2.2422,0.3566,6.0,0.2763677122350598,0.325845562122552,-0.1816130140187453,0.23817425342971255,0.8619228864292118,0.817625
3775,GHEMTN051541,MTNGH,Scancom Plc,Africa / Middle East,Africa / Middle East,GH,GHS,GHSE,Communication Services,Wireless Telecommunication Services,Mid Cap,Core,7935.34,0.0,8040.17,7.01,8.0933,8.518110151156309,7.353983091368877,9.84820018286987,0.21513696878121383,-0.12232499329697794,0.99225,0.1545363766048502,0.7763,8.6532,,0.8326,3.0,0.2890827467053182,0.4849452012522511,-0.3289536671680479,0.20676404694343137,1.163243880775425,0.7210625
4189,TW0002345006,2345,Accton Technology Corporation,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Communications Equipment,Large Cap,Growth,41246.23,0.01,39858.95,2385.0,3108.6667,2840.0236591211346,2761.481501241495,2921.0133112489425,0.19078560130865238,-0.19383349437075317,1.0,0.3034241928721174,1.0284,6.9552,58.6052,0.8859,12.0,0.20873121127810157,0.24367851141234564,-0.14204118550034028,0.18651924036762985,0.6382757496112637,0.818375
4398,JP3436100006,9984,SoftBank Group Corp.,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Communication Services,Wireless Telecommunication Services,Large Cap,Core,215278.23,0.0,360397.37,5958.0,7650.9737,7019.221154876517,6845.617838478865,7196.714803162858,0.17811701156034399,-0.23787355353182332,1.0,0.28415134273246057,0.356,2.6261,7.7372,0.5116,19.0,0.19249391072781355,0.19645778713670803,-0.0977544917499619,0.17709526390479738,0.5401509065291855,0.8531875
4448,RSNISHE79420,NIIS,Naftna Industrija Srbije a.d.,Europe,Europe,RS,RSD,BELEX,Energy,Oil Gas and Consumable Fuels,Small Cap,Value,1030.13,0.0,1311.99,718.0,940.0,843.2526882334747,711.4586804185668,992.7751792712454,0.17444664099369633,-0.2671668378393662,0.96225,0.30919220055710306,,0.1927,0.1848,0.0289,1.0,0.3628123484299381,0.8461034866669291,-0.5135224865380316,0.1698366647139547,1.888282361721961,0.6216875
4455,TW0005274005,5274,ASPEED Technology Inc.,Asia / Pacific,Asia / Pacific,TW,TWD,TPEX,Information Technology,Semiconductors and Semiconductor Equipment,Large Cap,Growth,20612.82,0.01,20383.25,16020.0,19136.696,18808.88283348825,18193.34582083398,19433.298091496577,0.17408756763347422,-0.2523033799337197,1.0,0.19455031210986268,1.4385,8.0366,69.4076,1.0134,15.0,0.19305227064774858,0.2582245852953465,-0.10402581297262317,0.17423938063515598,0.5394825552490273,0.84675
4578,DE0006231004,IFX,Infineon Technologies AG,Europe,Europe,DE,EUR,XTRA,Information Technology,Semiconductors and Semiconductor Equipment,Large Cap,Core,90459.34,0.01,96907.79,60.08,85.8696,70.06361877818468,68.68041429755071,71.47026120261864,0.16617208352504606,-0.27977767870137554,1.0,0.429254327563249,0.6046,0.7762,3.5871,0.2167,23.0,0.18090158576800108,0.17197419126638552,-0.07701670441326533,0.16924060658654888,0.47502978698461545,0.871875
4629,CA1363851017,CNQ,Canadian Natural Resources Limited,United States and Canada,United States and Canada,CA,CAD,TSX,Energy,Oil Gas and Consumable Fuels,Large Cap,Core,93315.86,0.01,107027.16,62.85,70.2857,73.13726192997053,71.85837679498044,74.41909482612253,0.1636795852023896,-0.28856219807196926,1.0,0.11830867143993636,0.3787,2.9633,3.9626,0.2105,21.0,0.1727864335504254,0.1492292115114221,-0.055069619148112384,0.16535021752493628,0.4265761020479096,0.89175
4662,TW0002344009,2344,Winbond Electronics Corporation,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Semiconductors and Semiconductor Equipment,Large Cap,Core,23531.78,0.01,24912.97,169.0,234.0,196.340372765922,190.62832649078976,201.97555243733456,0.1617773536445096,-0.29558986537607285,1.0,0.38461538461538464,1.0567,4.4698,21.5933,0.8727,6.0,0.22349323066803312,0.4013830139577027,-0.3084461770867071,0.16761823244600316,0.9471303784141187,0.696
4783,INE752E01010,POWERGRID,Power Grid Corporation of India Limited,Asia / Pacific,Asia / Pacific,IN,INR,NSEI,Utilities,Electric Utilities,Large Cap,Core,27552.8,0.01,42880.11,281.75,329.48,324.5147144228637,318.2384038099612,331.0523649253508,0.15178248242364653,-0.3309985650592805,1.0,0.16940550133096716,0.0768,1.7741,3.4903,0.1966,25.0,0.16293266668979486,0.1439592588339713,-0.048089247552537066,0.15319721689267526,0.4033226191584082,0.8915
4860,JP3854600008,7267,Honda Motor Co. Ltd.,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Consumer Discretionary,Automobiles,Large Cap,Value,40380.51,0.01,98337.74,1636.0,1629.5847,1875.0654267337327,1839.3399486152161,1911.9483427121627,0.14612801145093487,-0.3512981459215442,1.0,-0.003921332518337408,0.0937,0.6501,1.4292,0.0825,17.0,0.1565335502803038,0.17037675561327256,-0.10184207588316635,0.14441703074157886,0.45350920916173265,0.834
4918,SA123GA0ITH7,1211,Saudi Arabian Mining Company (Maaden),Africa / Middle East,Africa / Middle East,SA,SAR,SASE,Materials,Metals and Mining,Large Cap,Core,61599.48,0.01,69378.59,59.6,65.59,68.0841373087471,66.42522700248018,69.75081701983888,0.14235129712663028,-0.36503994460093503,1.0,0.10050335570469798,-0.0221,1.6256,4.0267,0.119,10.0,0.16215718395406814,0.23240063082161147,-0.17690514233684868,0.14026656488075995,0.5696367122966208,0.758125
5061,TW0003653002,3653,Jentech Precision Industrial Co. Ltd,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Semiconductors and Semiconductor Equipment,Large Cap,Growth,19704.85,0.01,19391.95,4340.0,5069.4444,4914.1927608730375,4765.038147318617,5061.677421294297,0.13230247946383175,-0.40167611538119286,1.0,0.1680747465437788,0.5909,15.6862,90.5096,1.015,9.0,0.1509257651857787,0.2447820794726876,-0.19841927920334676,0.12681119028292684,0.5906216218586496,0.7283125
5162,TW0006505001,6505,Formosa Petrochemical Corporation,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Energy,Oil Gas and Consumable Fuels,Large Cap,Core,19925.58,0.01,16295.76,67.6,75.2,76.07178810717576,74.38713122823711,77.81911225647579,0.12532230927774773,-0.4269671023321454,1.0,0.11242603550295859,0.4462,-0.2056,0.0198,-0.0329,5.0,0.19341458112945253,0.4334052286161067,-0.3457435772196515,0.12985505798221644,0.9299774834322381,0.657
5246,TW0002357001,2357,ASUSTeK Computer Inc.,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Core,19259.64,0.01,19504.88,838.0,802.0,937.2540188990441,915.9543907750774,959.0156799676614,0.11844154999885967,-0.45228345121760505,1.0,-0.04295942720763723,0.6258,2.6274,4.9931,0.3882,11.0,0.14068028220040937,0.22675034915258288,-0.19401781935165469,0.12222973139740739,0.5344732431933152,0.7335
5306,INE280A01028,500114,Titan Company Limited,Asia / Pacific,Asia / Pacific,IN,INR,BSE,Consumer Discretionary,Textiles Apparel and Luxury Goods,Large Cap,Growth,45851.91,0.0,48665.6,4912.0,5074.4054,5471.910646172155,5363.196667892117,5587.148405381748,0.11398832373211713,-0.4686760599519893,1.0,0.03306298859934854,0.2166,1.7752,11.2319,0.1949,37.0,0.11705169941425043,0.10425881301866555,-0.04473433005969357,0.11168807193770418,0.29237741934732947,0.881625
5340,GB00BDR05C01,NG,National Grid plc,Europe,Europe,GB,GBP,LSE,Utilities,Multi-Utilities,Large Cap,Core,79544.12,0.01,139998.59,11.875,13.5467,13.188677927562521,12.868817342826189,13.523758163468585,0.11062550968947146,-0.4812712442718963,1.0,0.14077473684210526,0.0673,0.7712,0.9966,0.1521,15.0,0.12096035284581343,0.17548484073855472,-0.13863418176385012,0.10788919094709315,0.4227524251000337,0.7610625
5553,TH0268010Z03,ADVANC,Advanced Info Service Public Company Limited,Asia / Pacific,Asia / Pacific,TH,THB,SET,Communication Services,Wireless Telecommunication Services,Large Cap,Core,33153.59,0.0,37754.66,369.0,401.579,402.04075117639485,391.3818520412526,412.93692461901173,0.08954133110134486,-0.5603928220516382,1.0,0.088289972899729,0.2647,1.6957,2.2584,0.251,19.0,0.09726102767545183,0.14303816131173447,-0.12087459284654305,0.08845998251155238,0.3467328969648004,0.75775
5573,JP3496400007,9433,KDDI Corporation,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Communication Services,Wireless Telecommunication Services,Large Cap,Value,68949.05,0.01,99461.18,2856.5,2861.4,3108.6321317312704,3036.9272777554384,3180.7473710097356,0.088266105979791,-0.5651303315547452,1.0,0.0017153859618414143,0.0704,1.0011,1.4547,0.1539,15.0,0.10288404746742816,0.1711900971260964,-0.1522917275821513,0.09047525247038034,0.4011660790736634,0.7243125
5642,DE0007236101,SIE,Siemens Aktiengesellschaft,Europe,Europe,DE,EUR,XTRA,Industrials,Industrial Conglomerates,Large Cap,Core,253604.15,0.0,313696.52,285.95,295.583,309.15025355449893,301.6742206095096,316.968911778311,0.08113395193040704,-0.5922897113627307,1.0,0.03368770764119601,0.221,1.3011,3.1311,0.2728,23.0,0.08973855173009179,0.13439359048067506,-0.11492000296863313,0.08011374268309918,0.32166313301754224,0.75225
5873,INE038A01020,500440,Hindalco Industries Limited,Asia / Pacific,Asia / Pacific,IN,INR,BSE,Materials,Metals and Mining,Large Cap,Core,24250.87,0.01,32281.04,1039.0,1115.1379,1091.880008344137,1070.893765555877,1112.7603342155128,0.05089509946500165,-0.7091913128046125,1.0,0.07327998075072185,0.1785,1.4427,6.74,0.3251,29.0,0.05873991822165149,0.11703310816681019,-0.12188428312164258,0.053398466371301585,0.2600189776524675,0.6913125
5898,DE0005552004,DHL,Deutsche Post AG,Europe,Europe,DE,EUR,XTRA,Industrials,Air Freight and Logistics,Large Cap,Core,71088.38,0.01,99634.74,55.58,52.5,58.221467605849455,56.775722860073294,59.73655879889829,0.047525505682792506,-0.7225941507152108,1.0,-0.055415617128463476,0.2402,0.2091,1.9726,0.1306,18.0,0.05907470588787862,0.15115280098683279,-0.16700487568134773,0.048996094644328886,0.32046625898344744,0.6396875
6003,PLPKN0000018,PKN,Orlen S.A.,Europe,Europe,PL,PLN,WSE,Energy,Oil Gas and Consumable Fuels,Large Cap,Value,46806.65,0.0,49945.64,150.2,144.13,155.1944097876155,151.06724562771782,159.20718377044406,0.03325172961128866,-0.7792164740200239,0.9895,-0.04041278295605859,0.6587,1.8036,2.8337,0.4149,10.0,0.055193956580098874,0.22302379561992539,-0.25615981078875205,0.031614749331003875,0.4320267086938371,0.570125
6173,TW0002412004,2412,Chunghwa Telecom Co. Ltd.,Asia / Pacific,Asia / Pacific,TW,TWD,TWSE,Communication Services,Diversified Telecommunication Services,Large Cap,Core,32884.78,0.01,31136.52,137.0,134.8,136.45383361157113,133.16540222752846,139.78354360073814,-0.003986615973929701,-0.9305989379746594,0.37225,-0.016058394160583942,0.0902,0.464,0.7694,0.0963,5.0,0.04059099132687994,0.28135490279372793,-0.34062547963983997,0.003123709755357234,0.5465446787184007,0.5058125
6348,CZ0005112300,CEZ,CEZ a. s.,Europe,Europe,CZ,CZK,SEP,Utilities,Electric Utilities,Large Cap,Core,35071.91,0.0,45381.25,1369.0,1081.5,1237.9997569895752,1150.6224152751463,1328.5946618097355,-0.09569046238891563,-1.3317483979787308,0.00375,-0.2100073046018992,0.0927,2.0795,4.912,0.1771,11.0,-0.08037836624340379,0.1876383982725151,-0.3497660329494924,-0.09859607404660446,0.23991606575660007,0.2844375
6351,SA15CGS10H12,2082,ACWA Power Company,Africa / Middle East,Africa / Middle East,SA,SAR,SASE,Utilities,Independent Power and Renewable Electricity Producers,Large Cap,Growth,41067.46,0.01,48044.0,201.3,145.0,181.35949958231402,175.4689283734516,187.28645245909013,-0.09905862105159308,-1.34478014832346,0.0,-0.2796820665673125,0.1073,,,0.0543,7.0,-0.0753346413912202,0.22543910302904002,-0.39797124903677183,-0.10159112855547045,0.3310241011399563,0.322
6382,US80004C2008,SNDK,Sandisk Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Growth,199995.22,0.01,196467.22,1350.5,2217.7727,947.7826235677126,880.8749597210674,1018.2322232037285,-0.2981987237558592,-2.377823397450913,0.0,0.6421863754165124,4.6892,,,,22.0,-0.28793885773098793,0.1271485133368918,-0.469086597975294,-0.3010033121387038,-0.06612267941187681,0.02375
